"f7","f7 2","b","flex","flex 2","b 2","mv1","b 3","mv1 2","w_iUH7","b 4","tl-m","ml1","w_kV33"
"Jul 13, 2025","Janie","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","The Best Pet Tower has been a blessing to my two cats.  They love it but are too big for some of the smaller pet houses. The tower is adjustable as  took off the smaller pet houses and replaced them with the larger benches.  Great product that makes my cats me-wow!","(0)",""
"Oct 7, 2025","MattM","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","I found the assembly process quite enjoyable. Everything was very compact in the box for the size of the finished product.  My cat loves it despite being over 10 and less active than he used to be. At first, he ignored it, and I thought it had been a waste of time and money, but after a couple of weeks, I noticed he was climbing it and batting at the attached toys. Asthetically, it goes well with my living space.","(0)",""
"Oct 12, 2025","Chasidy","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","5 out of 5 stars review","Verified Purchase","it's a lot smaller than I thought it would be but it did go together. the instructions leave a lot to be desired but I did get it together only had to back track a time or 2. my cat wants nothing to do with the very top sitting areas but does use it everyday to look out window so it's worth the I think $40 I paid for it.","(0)","smaller cats or kittens for sure who know larger c"
"Sep 22, 2025","Kittyfood","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","5 out of 5 stars review","Verified Purchase","Yes ordering online and having it shipped to you is the way to go. You get a better price than what the store has in stock. My kitty hasn't got on it get, but that will take time. It took her almost 3 weeks to feel comfortable to use the tunnel I recently bought for her.","(0)",""
"Oct 6, 2025","Katrina","Item details","Color: Pink","Assembled product height: 56""","Sold and shipped by","Factory Direct Wholesales, LLC","","","3 out of 5 stars review","Verified Purchase","I ordered the 56 inch activity house. My cat is about 8 pounds. It says it's good for kittens and cats so she should have no problem getting into the cubes but it a little small for her. She does love it and loves to sleep on the top of it curled up but if I would've known it was on the smaller side it wouldn't have bought it. I got it on sale but know I could've got a better piece for the same price.","(0)","Too small for AVERAGE cat"
"Nov 6, 2025","Regina","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","2 out of 5 stars review","Verified Purchase","we have 2 cats and thought this would be a good option for them.  They are 8 months old and are too big for it.  It is as tall as it looks but very smooshed together. Pay attention to the dimensions because the pics are deceiving. I don't recommend unless you have midget cats.","(0)","only good for small cats"
"Aug 25, 2025","Catherine","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","I would have returned it, but it would have been too much of a hassle to take it apart. I threw it in the dumpster the next day. My fault for not looking at all the dimensions before purchasing. I just looked at the height of the whole condo. This is really for a kitten. It was too small for my 9 lb cat.","(0)",""
"Jul 14, 2025","anonymous","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","I got this item Friday and noticed one of the legs were wobbly and I unscrewed it to re tighten it and now it won't go into the screw. Now this screw is sticking up and may hurt my cats paw. Additionally my cat is not very big and this cat tree was quite small.","(0)","Broke already"
"Sep 25, 2025","Jennifer","Item details","Color: Dark Gray","Assembled product height: 81 in","Sold and shipped by","Factory Direct Wholesales, LLC","","","1 out of 5 stars review","Verified Purchase","The worst. Do not buy.  It's not well situated for cats. No real place for them to jump. The rope for claws is in the back and too low for cats to use. It's plush not rug so nothing for them to hold onto. It's horrible. I wish we could undo and send back. DO NOT WASTER YOUR MONEY!! It's on sale for a reason!","(0)","DO NOT BUY!"
"Nov 11, 2025","Paula","Item details","Color: Dark Gray","Assembled product height: 54 in","Sold by","Factory Direct Wholesales, LLC","Delivered by","Walmart","1 out of 5 stars review","Verified Purchase","This is literal trash. The piece that arrived broken broke again after the 90 days of warranty. I should have returned it when the piece arrived broken. But I trusted they would stand by their product. We have had this product for exactly 100 days. Contacted the manufacturer and their response was sorry you are outside the 90 days. With no resolution. So not I have a 5 foot piece of garbage in my house. Keep in mind that a kitten 1 kitten that currently weighs 7lbs has been using this.","(0)","GARBAGE."
